2024-03-10 14:30:44 [restartedMain] INFO  c.bank_api.aspect.LoggingAspect - FROM AOP:: Request: ActuatorHttpExchangesConfiguration$$SpringCGLIB$$0.httpTraceRepository() with arguments: []
2024-03-10 14:30:50 [restartedMain] INFO  c.bank_api.aspect.LoggingAspect - FROM AOP:: Request: OpenApiConfig$$SpringCGLIB$$0.usersMicroserviceOpenAPI() with arguments: []
2024-03-10 14:30:50 [restartedMain] INFO  c.bank_api.aspect.LoggingAspect - FROM AOP:: Response: OpenApiConfig$$SpringCGLIB$$0.usersMicroserviceOpenAPI() with response: {"openapi":"3.0.1","info":{"title":"Bank Duit API","description":"API Documentation for Bank Duit Springboot Backend","termsOfService":null,"contact":null,"license":null,"version":"1.0","extensions":null,"summary":null},"externalDocs":null,"servers":null,"security":null,"tags":null,"paths":null,"components":null,"extensions":null,"jsonSchemaDialect":null,"webhooks":null}
2024-03-10 14:30:51 [restartedMain] INFO  c.bank_api.aspect.LoggingAspect - FROM AOP:: Request: TestDataGenerator.run() with arguments: [[]]
2024-03-10 14:30:51 [restartedMain] INFO  c.bank_api.aspect.LoggingAspect - FROM AOP:: Request: $Proxy150.save() with arguments: [{"id":0,"name":"Happy","email":"happy@example.com","mobileNumber":"9876548337","role":"admin","createDt":1710052251328,"cards":null,"loans":null}]
2024-03-10 14:30:51 [restartedMain] INFO  c.bank_api.aspect.LoggingAspect - FROM AOP:: Response: $Proxy150.save() with response: {"id":1,"name":"Happy","email":"happy@example.com","mobileNumber":"9876548337","role":"admin","createDt":1710052251328,"cards":null,"loans":null}
2024-03-10 14:30:51 [restartedMain] INFO  c.bank_api.aspect.LoggingAspect - FROM AOP:: Request: $Proxy150.findById() with arguments: [1]
2024-03-10 14:30:51 [restartedMain] INFO  c.bank_api.aspect.LoggingAspect - FROM AOP:: Response: $Proxy150.findById() with response: {"empty":false,"present":true}
2024-03-10 14:30:51 [restartedMain] INFO  c.bank_api.aspect.LoggingAspect - FROM AOP:: Request: $Proxy150.findById() with arguments: [1]
2024-03-10 14:30:51 [restartedMain] INFO  c.bank_api.aspect.LoggingAspect - FROM AOP:: Response: $Proxy150.findById() with response: {"empty":false,"present":true}
2024-03-10 14:30:51 [restartedMain] INFO  c.bank_api.aspect.LoggingAspect - FROM AOP:: Request: $Proxy148.findAll() with arguments: []
